CAS,Formula,DHf(kJ/mol),DHf(kcal/mol),IsomericSMILES,Source
7385-82-2,C7H14,-82.3,-19.7,C/C=C/CC(C)C,Ghahremanpour2016
821-07-8,C6H8,172.0,41.1,C(=CC=C)C=C,Ghahremanpour2016
111-65-9,C8H18,-208.7,-49.9,CCCCCCCC,Ghahremanpour2016
74286-96-7,C15H32,-347.1,-82.9,CCCC(C)(CC)CC(C)(CC)CCC,Pedley1986
919-12-0,C8H14,70.0,16.7,CCC(C)(CC)C#C,Ghahremanpour2016
1942-45-6,C8H14,70.0,16.7,CCCC#CCCC,Ghahremanpour2016
106-97-8,C4H10,-126.0,-30.1,CCCC,Ghahremanpour2016
589-53-7,C8H18,-212.0,-50.7,CCCC(C)CCC,Ghahremanpour2016
16789-51-8,C8H16,-104.0,-24.9,CCC=C(CC)CC,Ghahremanpour2016
5194-51-4,C6H10,43.3,10.3,C/C=C/C=C/C,Ghahremanpour2016
74286-94-5,C13H28,-301.3,-72.0,CCC(C)(CC)CC(C)(CC)CC,Pedley1986
1067-08-9,C8H18,-214.9,-51.4,CCC(C)(CC)CC,Ghahremanpour2016
593-45-3,C18H38,-414.6,-99.1,C(CCCCCCCCC)CCCCCCCC,Pedley1986
616-12-6,C6H12,-62.9,-15.0,CC/C(=C/C)/C,Ghahremanpour2016
75-28-5,C4H10,-134.6,-32.2,CC(C)C,Ghahremanpour2016
590-18-1,C4H8,-7.3,-1.7,C/C=C\C,Ghahremanpour2016
3221-61-2,C9H20,-235.4,-56.2,CCCCCCC(C)C,Ghahremanpour2016
14250-96-5,C6H12,-66.7,-15.9,CC/C=C(\C)/C=O,Ghahremanpour2016
39761-57-4,C8H16,-106.2,-25.4,C/C=C(\C)/C(C)(C)C,Ghahremanpour2016
6196-60-7,C8H16,-89.7,-21.4,CCC(C)(CC)C=C,Ghahremanpour2016
51065-65-7,C8H16,-101.1,-24.2,C/C=C/CCC(C)C,Ghahremanpour2016
19447-29-1,C9H16,43.2,10.3,CCCCCCC#CC,Ghahremanpour2016
16106-59-5,C8H16,-93.0,-22.2,CC(C)C(C)CC=C,Ghahremanpour2016
16747-38-9,C9H20,-236.1,-56.4,CC(C)C(C)(C)C(C)C,Pedley1986
999-78-0,C7H12,63.6,15.2,CC#CC(C)(C)C,Ghahremanpour2016
2004-69-5,C5H6,259.3,62.0,C/C=C/C#C,Ghahremanpour2016
19781-63-6,C8H16,-99.8,-23.8,CCC(CC)/C=C/C,Ghahremanpour2016
1119-65-9,C7H12,84.8,20.3,CCCCC#CC,Ghahremanpour2016
3404-78-2,C8H16,-115.3,-27.6,CC(C)CC=C(C)C,Ghahremanpour2016
19780-66-6,C8H16,-100.5,-24.0,CCC(CC)C(=C)C,Ghahremanpour2016
918-82-1,C7H12,83.3,19.9,CCC(C)(C)C#C,Ghahremanpour2016
7357-93-9,C7H14,80.3,19.2,CCC(=C)C(C)C,Ghahremanpour2016
816-79-5,C7H14,-83.2,-19.9,CCC(=CC)CC,Ghahremanpour2016
54616-49-8,C8H16,-99.8,-23.8,CCC(CC)/C=C\C,Ghahremanpour2016
7154-79-2,C9H20,-237.1,-56.7,C(C(C)(C)C)(CC)(C)C,Pedley1986
66225-12-5,C8H16,-111.3,-26.6,C/C=C(\C)/CC(C)C,Ghahremanpour2016
590-35-2,C7H16,-205.8,-49.2,CCCC(C)(C)C,Ghahremanpour2016
3524-73-0,C7H14,-69.1,-16.5,CC(C)CCC=C,Ghahremanpour2016
646-05-9,C5H6,249.0,59.5,CC#CC=C,Ghahremanpour2016
66225-20-5,C8H16,-103.2,-24.7,CC/C=C/CC(C)C,Ghahremanpour2016
629-05-0,C8H14,82.3,19.7,CCCCCCC#C,Ghahremanpour2016
19550-82-4,C8H16,-109.7,-26.2,CCC(C)/C(=C/C)/C,Ghahremanpour2016
39782-43-9,C8H16,-113.4,-27.1,C/C=C/CC(C)(C)C,Ghahremanpour2016
591-95-7,C5H8,140.7,33.6,CCC=C=C,Ghahremanpour2016
74-84-0,C2H6,-83.9,-20.0,CC,Ghahremanpour2016
629-50-5,C13H28,-311.8,-74.5,CCCCCCCCCCCCC,Ghahremanpour2016
61868-61-9,C11H24,-276.7,-66.1,CCC(C)(C)CC(C)(C)CC,Pedley1986
2004-70-8,C5H8,75.9,18.1,C/C=C/C=C,Ghahremanpour2016
20488-34-0,C8H16,-99.4,-23.8,CCC/C=C/C(C)C,Ghahremanpour2016
19550-87-9,C8H16,-107.2,-25.6,CC/C(=C(/C)\CC)/C,Ghahremanpour2016
20184-91-2,C9H16,49.4,11.8,CCCCC#CCCC,Ghahremanpour2016
917-92-0,C6H10,103.0,24.6,CC(C)(C)C#C,Ghahremanpour2016
1120-21-4,C11H24,-270.6,-64.7,CCCCCCCCCCC,Ghahremanpour2016
15870-10-7,C8H16,-94.2,-22.5,CCCCCC(=C)C,Ghahremanpour2016
922-62-3,C6H12,-62.5,-14.9,CC/C(=C\C)/C,Ghahremanpour2016
690-92-6,C8H16,-90.2,-21.6,CC/C=C\C(C)(C)C,Ghahremanpour2016
16746-86-4,C8H16,-97.9,-23.4,CCCC(C)C(=C)C,Ghahremanpour2016
40276-93-5,C7H14,-68.1,-16.3,CCCC(C)C#C,Ghahremanpour2016
1574-41-0,C5H8,82.3,19.7,C/C=C\C=C,Ghahremanpour2016
4050-45-7,C6H12,-53.7,-12.8,C(C=CC)CC,Ghahremanpour2016
